,ROUTEID,FROMMEASURE,TOMEASURE,XCOORD,YCOORD,ADDTOGIS,ARMSTYLE_DESC,ASSETSTATUS_DESC,ASSETTYPE,FACILITYID,LIGHTTYPE_DESC,POLEHEIGHT_DESC,STREETLIGHTID,WATTAGE1,MAXTEMP,HUMIDITY,WINDSPEED,date_timestamp,day,month,year
3739,11004702,1425.452761,1574.762991,406336,134817,2007/04/05 00:00:00+00,WP Arm with Guy,Active,1,75370DC,LED-Light Emitting Diode,35 ft,75370DC,135,20.960245,65.19032,10.365251,2007-04-05 00:00:00+00:00,5,4,2007
3740,11022552,2451.168201,2500.685973,406418,137117,2007/04/08 00:00:00+00,Simple WP,Active,1,70444DC,HPS-High Pressure Sodium,35 ft,70444DC,400,20.680244,65.47062,9.983106,2007-04-08 00:00:00+00:00,8,4,2007
3741,11022552,2289.935502,2401.310558,397873,137905,2007/06/18 00:00:00+00,Regular Alley,Active,2,26052,HPS-High Pressure Sodium,28 ft,26052,100,19.060246,71.67033,7.729527,2007-06-18 00:00:00+00:00,18,6,2007
3742,11011242,0,149.0804921,393912,144475,2007/07/05 00:00:00+00,Regular Alley,Active,2,31184DC,HPS-High Pressure Sodium,35 ft,31184DC,70,17.910246,76.75012,6.6087217,2007-07-05 00:00:00+00:00,5,7,2007
3743,11022552,2843.032038,2898.939237,393965,144504,2007/07/03 00:00:00+00,Simple WP,Active,1,31097DC,INC-Incandescent,35 ft,31097DC,295,17.410246,78.089325,6.1305785,2007-07-03 00:00:00+00:00,3,7,2007
3744,11022552,2240.827978,2289.935502,393310,144159,2007/07/05 00:00:00+00,WP Arm with Guy,Active,1,31845DC,HPS-High Pressure Sodium,35 ft,31845DC,100,16.140245,86.24159,5.4833565,2007-07-05 00:00:00+00:00,5,7,2007
3745,11004402,3215.350938,3256.801436,394101,144107,2007/07/03 00:00:00+00,Simple WP,Active,1,31110DC,HPS-High Pressure Sodium,35 ft,31110DC,100,15.630245,87.55494,5.0911684,2007-07-03 00:00:00+00:00,3,7,2007
3746,11022552,2197.216624,2240.827978,393845,144743,2007/07/03 00:00:00+00,Simple WP,Active,1,31131DC,INC-Incandescent,35 ft,31131DC,295,14.980246,89.17673,3.8939953,2007-07-03 00:00:00+00:00,3,7,2007
3747,11022552,2135.867798,2197.216624,392937,143050,2007/07/14 00:00:00+00,Regular Alley,Active,2,3A337DC,HPS-High Pressure Sodium,35 ft,3A337DC,70,14.360246,91.08299,3.9763298,2007-07-14 00:00:00+00:00,14,7,2007
3748,11092692,214.8917836,291.7237979,393499,143266,2007/07/05 00:00:00+00,WP Arm with Guy,Active,1,30634DC,HPS-High Pressure Sodium,35 ft,30634DC,150,14.010245,92.38791,3.6,2007-07-05 00:00:00+00:00,5,7,2007
